date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,0,0.9465468407373142,0.0,0.23314,0.0,0.8673,200000,200000.0,0.0,1.0
2020-01-21,1,1.0195842071804044,-421478.5467419708,0.23726,114639.45890175398,0.8723,200000,200000.0,0.0,1.0
2020-01-22,1,0.7860619857389197,-421478.5467419708,0.23733,114639.45890175398,0.8862,200000,201622.9919770063,1622.9919770063134,1.0081149598850316
2020-01-23,1,0.27307134302558556,-421478.5467419708,0.22586,114639.45890175398,0.8726,200000,195229.53640481207,-4770.463595187932,0.9761476820240603
2020-01-24,1,0.22958707675020057,-421478.5467419708,0.22222,114639.45890175398,0.8552,200000,191700.62790978077,-8299.372090219229,0.9585031395489039
2020-01-25,0,-0.07919937847811699,0.0,0.21946,0.0,0.8512,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-01-26,0,0.5737834975974642,0.0,0.23131,0.0,0.8718,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-01-27,0,0.5529338987049179,0.0,0.23077,0.0,0.868,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-01-28,0,0.9157421536037289,0.0,0.23906,0.0,0.8856,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-01-29,0,0.9113216265274636,0.0,0.23539,0.0,0.8699,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-01-30,2,1.7992741609013903,0.0,0.24376,0.0,0.8696,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-01-31,0,0.732581157181937,0.0,0.23946,0.0,0.8824,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-02-01,0,-0.13398362378776213,0.0,0.24141,0.0,0.9111,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-02-02,0,-0.8571928519640232,0.0,0.25093,0.0,0.9594,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-02-03,-1,-1.0788382937411867,382895.08987313864,0.25453,-99355.98656887548,0.9809,200000,194916.57445081993,-5083.425549180072,0.9745828722540997
2020-02-04,0,1.5734294348202746,0.0,0.26737,0.0,0.9643,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-05,2,1.7996555078729286,0.0,0.27774,0.0,0.9899,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-06,0,0.6953813010029075,0.0,0.28325,0.0,1.0364,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-07,-2,-1.5683610676650486,0.0,0.27953,0.0,1.092,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-08,0,-0.6894979616451968,0.0,0.27735,0.0,1.058,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-09,-2,-1.5219955618667418,0.0,0.28257,0.0,1.11,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-10,-2,-3.8685823791261487,0.0,0.27338,0.0,1.4376,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-11,-2,-2.5641690710106433,0.0,0.281,0.0,1.4117,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-12,-2,-1.7287483525888419,0.0,0.30427,0.0,1.4324,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-13,0,-0.8539380872075518,0.0,0.32709,0.0,1.4038,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-14,-2,-1.3414333732290913,0.0,0.33594,0.0,1.5529,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-15,-2,-1.419006709223961,0.0,0.30729,0.0,1.4686,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-16,-2,-1.2018611216697204,0.0,0.29224,0.0,1.3809,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-17,0,-0.9860950807858555,0.0,0.28736,0.0,1.3366,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-18,-2,-1.239123299894572,0.0,0.29827,0.0,1.4693,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-19,-2,-1.2031239275352257,0.0,0.27466,0.0,1.3717,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-20,-2,-1.5718046942154427,0.0,0.2709,0.0,1.4854,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-21,-2,-1.2124741576616938,0.0,0.27418,0.0,1.4459,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-22,0,-0.9909480142749437,0.0,0.27468,0.0,1.4198,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-23,0,-0.8259397126027508,0.0,0.28298,0.0,1.4439,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-24,0,-0.7238274973658037,0.0,0.2704,0.0,1.3735,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-25,0,-0.8682062540295017,0.0,0.25209,0.0,1.3215,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-26,0,-0.5259806065097079,0.0,0.22915,0.0,1.1562,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-27,0,-0.5334668229199289,0.0,0.2385,0.0,1.2148,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-28,0,0.03460730185907653,0.0,0.23663,0.0,1.1529,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-02-29,0,0.018818791474489654,0.0,0.22892,0.0,1.1317,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-01,0,0.032816835033133214,0.0,0.22696,0.0,1.1176,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-02,0,-0.06472831949724875,0.0,0.23958,0.0,1.1853,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-03,0,-0.09131631237369156,0.0,0.23428,0.0,1.1639,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-04,0,-0.5819961206076233,0.0,0.23453,0.0,1.1998,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-05,-2,-2.2309517699756602,0.0,0.23909,0.0,1.3394,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-06,-2,-1.9537120496931117,0.0,0.24477,0.0,1.375,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-07,-2,-1.2500516310987813,0.0,0.23622,0.0,1.2858,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-08,0,-0.9096355281436885,0.0,0.20385,0.0,1.0936,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-09,0,-0.21856340376642625,0.0,0.20952,0.0,1.0925,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-10,-2,-2.634454560366126,0.0,0.21185,0.0,1.2875,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-11,-2,-2.6749917386668205,0.0,0.20813,0.0,1.337,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
2020-03-12,-2,-1.3865563237038068,0.0,0.13549,0.0,0.795,200000,188350.89211980547,-11649.107880194526,0.9417544605990273
