date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,BTCUSDT_position,BTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,7200.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,6965.71,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,7344.96,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,7354.11,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,7358.75,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,7758.0,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,8145.28,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,8055.98,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,7817.76,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,8197.02,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,8020.01,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,8184.98,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,8110.34,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,8810.01,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,8821.41,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,8720.01,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,8913.28,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,8915.96,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,8701.7,200000,200000.0,0.0,1.0
2020-01-20,2,1.4625900109637724,0.0,53.68,0.0,8642.35,200000,200000.0,0.0,1.0
2020-01-21,2,1.2105452603088491,0.0,53.26,0.0,8736.03,200000,200000.0,0.0,1.0
2020-01-22,1,1.0205142217942194,-1915.3418885271021,52.21,11.517605812244597,8682.36,200000,200000.0,0.0,1.0
2020-01-23,1,0.8226582149611451,-1915.3418885271021,49.6,11.517605812244597,8404.52,200000,191800.90607207024,-8199.09392792976,0.9590045303603512
2020-01-24,1,0.6315659589900765,-1915.3418885271021,48.82,11.517605812244597,8439.0,200000,190704.06644742528,-9295.933552574716,0.9535203322371264
2020-01-25,1,0.6153825968930678,-1915.3418885271021,48.72,11.517605812244597,8340.58,200000,189378.96949453145,-10621.030505468545,0.9468948474726573
2020-01-26,1,0.9189930631486912,-1915.3418885271021,53.65,11.517605812244597,8615.0,200000,201982.2663919662,1982.266391966201,1.009911331959831
2020-01-27,1,0.8023861867481391,-1915.3418885271021,55.18,11.517605812244597,8907.57,200000,208282.4454139011,8282.445413901092,1.0414122270695054
2020-01-28,1,0.574166167355646,-1915.3418885271021,56.74,11.517605812244597,9374.21,200000,216644.9543362292,16644.954336229188,1.0832247716811458
2020-01-29,1,1.1949576648217768,-1915.3418885271021,61.74,11.517605812244597,9301.53,200000,225384.56418843078,25384.564188430784,1.126922820942154
2020-01-30,2,1.5282719174666801,0.0,66.3,0.0,9513.21,200000,217417.76442024345,17417.764420243446,1.0870888221012172
2020-01-31,2,1.6167655312697136,0.0,66.51,0.0,9352.89,200000,217417.76442024345,17417.764420243446,1.0870888221012172
2020-02-01,2,1.4830799254372287,0.0,66.03,0.0,9384.61,200000,217417.76442024345,17417.764420243446,1.0870888221012172
2020-02-02,2,1.5520536622091556,0.0,66.36,0.0,9331.51,200000,217417.76442024345,17417.764420243446,1.0870888221012172
2020-02-03,2,1.402212261078154,0.0,65.52,0.0,9292.24,200000,217417.76442024345,17417.764420243446,1.0870888221012172
2020-02-04,1,1.1713684491548468,-1689.6002830295572,64.34,11.82001150482675,9197.02,200000,217417.76442024345,17417.764420243446,1.0870888221012172
2020-02-05,2,1.7058080004173122,0.0,71.19,0.0,9612.04,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-06,2,1.235974850771248,0.0,70.14,0.0,9772.0,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-07,0,0.7833871787318263,0.0,68.38,0.0,9813.73,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-08,0,0.8870306852638792,0.0,70.02,0.0,9895.05,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-09,0,0.7200307187709843,0.0,71.33,0.0,10151.75,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-10,0,0.7405976426201994,0.0,69.77,0.0,9851.83,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-11,0,0.7112835829662085,0.0,72.68,0.0,10223.08,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-12,0,0.581449149453134,0.0,73.12,0.0,10326.46,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-13,0,0.41952472141938335,0.0,72.01,0.0,10229.63,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-14,0,0.3626363212706579,0.0,72.92,0.0,10344.36,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-15,-2,-1.2832058870104883,0.0,64.46,0.0,9904.72,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-16,-2,-2.5043929356440064,0.0,60.0,0.0,9917.27,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-17,-1,-1.1566285640433458,1745.2179531484637,64.2,-11.543683555752253,9706.0,200000,224085.98518426274,24085.98518426274,1.1204299259213137
2020-02-18,-2,-1.5639305042663545,0.0,65.74,0.0,10164.71,200000,226693.55262027323,26693.55262027323,1.133467763101366
2020-02-19,-2,-1.3852238575733467,0.0,62.1,0.0,9593.79,200000,226693.55262027323,26693.55262027323,1.133467763101366
2020-02-20,-2,-1.5851427396998763,0.0,60.79,0.0,9596.42,200000,226693.55262027323,26693.55262027323,1.133467763101366
2020-02-21,-2,-1.3449560150854287,0.0,61.56,0.0,9677.05,200000,226693.55262027323,26693.55262027323,1.133467763101366
2020-02-22,-2,-1.3660859368464053,0.0,60.73,0.0,9650.86,200000,226693.55262027323,26693.55262027323,1.133467763101366
2020-02-23,-1,-1.044034640747794,1790.062797064697,63.32,-11.407227598540379,9936.4,200000,226693.55262027323,26693.55262027323,1.133467763101366
2020-02-24,-1,-1.1434250462861575,1790.062797064697,60.7,-11.407227598540379,9656.13,200000,218806.4844129208,18806.484412920807,1.094032422064604
2020-02-25,-2,-1.4252133099296218,0.0,57.06,0.0,9315.84,200000,230820.47657134803,30820.47657134803,1.15410238285674
2020-02-26,-2,-1.8715774250957653,0.0,51.33,0.0,8785.25,200000,230820.47657134803,30820.47657134803,1.15410238285674
2020-02-27,-2,-1.3239919906633244,0.0,52.96,0.0,8823.21,200000,230820.47657134803,30820.47657134803,1.15410238285674
2020-02-28,-2,-1.5097722749559543,0.0,50.83,0.0,8692.91,200000,230820.47657134803,30820.47657134803,1.15410238285674
2020-02-29,-2,-1.5554540031167259,0.0,48.96,0.0,8523.61,200000,230820.47657134803,30820.47657134803,1.15410238285674
2020-03-01,-2,-1.3900952161770002,0.0,49.1,0.0,8531.88,200000,230820.47657134803,30820.47657134803,1.15410238285674
2020-03-02,-1,-1.044032014363418,2205.4316507868148,52.33,-12.9452755378065,8915.24,200000,230820.47657134803,30820.47657134803,1.15410238285674
2020-03-03,-1,-1.1404473532043056,2205.4316507868148,50.78,-12.9452755378065,8760.07,200000,225393.33910742705,25393.339107427048,1.1269666955371354
2020-03-04,-2,-1.2397592138418143,0.0,50.17,0.0,8750.87,200000,233456.3939968983,33456.39399689829,1.1672819699844914
2020-03-05,-2,-1.2569701135055273,0.0,51.84,0.0,9054.68,200000,233456.3939968983,33456.39399689829,1.1672819699844914
2020-03-06,0,-0.8076882882376112,0.0,53.3,0.0,9131.88,200000,233456.3939968983,33456.39399689829,1.1672819699844914
2020-03-07,-1,-1.1836203659807272,2307.3373591312343,50.59,-13.135215817691815,8886.66,200000,233456.3939968983,33456.39399689829,1.1672819699844914
2020-03-08,-2,-2.0679622686685346,0.0,42.83,0.0,8033.31,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-09,-2,-1.8503341264557398,0.0,42.18,0.0,7929.87,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-10,-2,-1.8405952813061104,0.0,41.4,0.0,7894.56,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-11,-2,-2.005786129105492,0.0,40.24,0.0,7934.52,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-12,-2,-1.2620777014416704,0.0,25.45,0.0,4800.0,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-13,-2,-2.0365657375404185,0.0,27.34,0.0,5578.6,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-14,-2,-1.9790352256182249,0.0,24.95,0.0,5172.06,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-15,-2,-1.843285957144989,0.0,25.68,0.0,5361.3,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-16,-2,-1.4081307267921261,0.0,24.68,0.0,5028.97,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-17,-2,-1.6425624897410058,0.0,25.06,0.0,5312.64,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-18,0,0.28670815166969127,0.0,29.73,0.0,5393.04,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-19,0,-0.4513786759637471,0.0,31.95,0.0,6162.37,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-20,0,-0.03597243442585801,0.0,33.08,0.0,6208.36,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-21,0,0.046525491220433715,0.0,33.03,0.0,6186.98,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-22,0,-0.5986514025930988,0.0,29.49,0.0,5816.19,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-23,0,-0.8400002208788784,0.0,32.05,0.0,6467.31,200000,240152.39548572942,40152.395485729416,1.200761977428647
2020-03-24,-1,-1.0230989375831925,3661.9761434237485,32.79,-17.80299222841937,6744.72,200000,240152.3954857294,40152.39548572939,1.2007619774286469
2020-03-25,-1,-1.0537167450937446,3661.9761434237485,32.2,-17.80299222841937,6677.43,200000,236793.86621405906,36793.86621405906,1.1839693310702952
2020-03-26,-1,-1.0258262407137781,3661.9761434237485,32.46,-17.80299222841937,6737.36,200000,238812.9133355984,38812.913335598394,1.1940645666779919
2020-03-27,-1,-0.7586604287370667,3661.9761434237485,31.01,-17.80299222841937,6359.11,200000,226769.06611723435,26769.066117234353,1.1338453305861718
2020-03-28,-1,-0.7008745676952303,3661.9761434237485,30.38,-17.80299222841937,6236.65,200000,222281.86671858514,22281.866718585137,1.1114093335929256
2020-03-29,-1,-0.9175101130109453,3661.9761434237485,28.22,-17.80299222841937,5881.42,200000,208047.84131948842,8047.84131948842,1.0402392065974422
2020-03-30,-1,-0.9169595096264557,3661.9761434237485,30.54,-17.80299222841937,6394.38,200000,225675.84886572155,25675.84886572155,1.1283792443286078
2020-03-31,-1,-0.6637822734401364,3661.9761434237485,30.9,-17.80299222841937,6410.44,200000,227280.0763325425,27280.076332542492,1.1364003816627124
2020-04-01,-1,-1.0224135883486754,3661.9761434237485,31.32,-17.80299222841937,6642.92,200000,232956.94594604342,32956.945946043415,1.1647847297302172
2020-04-02,-1,-0.8420259636246361,3661.9761434237485,32.23,-17.80299222841937,6794.09,200000,238980.62257172918,38980.62257172918,1.194903112858646
2020-04-03,-1,-0.3851099849639561,3661.9761434237485,32.66,-17.80299222841937,6734.1,200000,239487.2708096185,39487.270809618494,1.1974363540480926
2020-04-04,-1,-0.537411180641903,3661.9761434237485,33.03,-17.80299222841937,6856.99,200000,243030.01169763575,43030.01169763575,1.2151500584881787
2020-04-05,-1,-0.5767801987222257,3661.9761434237485,32.52,-17.80299222841937,6772.78,200000,239663.21388893446,39663.213888934464,1.1983160694446724
2020-04-06,0,0.7478116402157906,0.0,37.56,0.0,7329.9,200000,233102.72427382454,33102.72427382454,1.1655136213691226
2020-04-07,0,0.7049257137297098,0.0,36.45,0.0,7197.32,200000,233102.72427382454,33102.72427382454,1.1655136213691226
2020-04-08,1,1.151568397450756,-3078.4828879268957,37.86,15.833029328718956,7361.28,200000,233102.72427382454,33102.72427382454,1.1655136213691226
2020-04-09,2,2.9301338153165686,0.0,40.71,0.0,7283.54,200000,243107.26020443084,43107.260204430844,1.2155363010221543
2020-04-10,2,1.7953448020165883,0.0,36.62,0.0,6858.92,200000,243107.26020443084,43107.260204430844,1.2155363010221543
2020-04-11,2,1.3509455711043665,0.0,36.2,0.0,6876.83,200000,243107.26020443084,43107.260204430844,1.2155363010221543
2020-04-12,2,1.2490602918080809,0.0,36.38,0.0,6903.79,200000,243107.26020443084,43107.260204430844,1.2155363010221543
2020-04-13,0,0.9799318323955354,0.0,35.75,0.0,6837.91,200000,243107.26020443084,43107.260204430844,1.2155363010221543
2020-04-14,0,0.6725523085922134,0.0,35.51,0.0,6868.7,200000,243107.26020443084,43107.260204430844,1.2155363010221543
2020-04-15,1,1.0766298629997832,-3465.040766881854,35.08,18.358136859895644,6621.24,200000,243107.26020443084,43107.260204430844,1.2155363010221543
2020-04-16,2,1.4992469143489657,0.0,38.74,0.0,7101.94,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-17,2,2.138647338665914,0.0,40.4,0.0,7027.55,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-18,2,1.9837119836681816,0.0,42.13,0.0,7248.6,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-19,2,2.910562403966028,0.0,46.44,0.0,7120.74,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-20,2,1.7611656522649457,0.0,41.89,0.0,6826.83,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-21,2,1.5936734379528454,0.0,42.09,0.0,6841.37,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-22,2,1.8163842754169401,0.0,45.53,0.0,7125.14,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-23,0,0.8529311943451878,0.0,44.46,0.0,7482.39,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-24,0,0.6394467312420398,0.0,44.08,0.0,7505.0,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-25,0,0.679897188486854,0.0,44.7,0.0,7538.67,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-26,0,0.3202217672151177,0.0,44.59,0.0,7693.1,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-27,0,0.07183853665824275,0.0,44.46,0.0,7774.62,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-28,0,0.11583684195340645,0.0,44.62,0.0,7738.98,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-29,0,-0.8638315482105556,0.0,47.07,0.0,8778.57,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-04-30,-2,-1.2417294122773865,0.0,44.76,0.0,8620.0,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-05-01,-2,-1.2450806317756575,0.0,45.73,0.0,8826.96,200000,246964.5530226666,46964.5530226666,1.234822765113333
2020-05-02,-2,-1.2146585781408374,0.0,46.5,0.0,8972.05,200000,246964.5530226666,46964.5530226666,1.234822765113333
