date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,LINKUSDT_position,LINKUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,1.8111,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,1.7366,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,1.804,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,1.8242,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,1.7957,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,1.9374,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,2.1033,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,2.1892,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,2.1886,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,2.2257,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,2.2734,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,2.2383,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,2.1901,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,2.3751,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,2.3953,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,2.4925,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,2.7006,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,2.7709,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,2.6212,200000,200000.0,0.0,1.0
2020-01-20,0,0.9890614377349332,0.0,53.68,0.0,2.688,200000,200000.0,0.0,1.0
2020-01-21,0,0.884502577463669,0.0,53.26,0.0,2.6716,200000,200000.0,0.0,1.0
2020-01-22,0,0.7388768530249352,0.0,52.21,0.0,2.6426,200000,200000.0,0.0,1.0
2020-01-23,0,0.779778109340783,0.0,49.6,0.0,2.4698,200000,200000.0,0.0,1.0
2020-01-24,0,0.5063147973232863,0.0,48.82,0.0,2.5024,200000,200000.0,0.0,1.0
2020-01-25,0,0.6029027330916964,0.0,48.72,0.0,2.4468,200000,200000.0,0.0,1.0
2020-01-26,0,0.8614761534161164,0.0,53.65,0.0,2.5764,200000,200000.0,0.0,1.0
2020-01-27,0,0.899798724969996,0.0,55.18,0.0,2.6055,200000,200000.0,0.0,1.0
2020-01-28,0,0.8959115151253378,0.0,56.74,0.0,2.6558,200000,200000.0,0.0,1.0
2020-01-29,1,1.1879014109377368,-1619.6954972465176,61.74,36006.19306520722,2.7773,200000,200000.0,0.0,1.0
2020-01-30,2,1.3354313428384623,0.0,66.3,0.0,2.9156,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-01-31,2,1.6393938127191665,0.0,66.51,0.0,2.8259,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-01,2,1.4663650145495697,0.0,66.03,0.0,2.8378,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-02,2,1.4752186717573352,0.0,66.36,0.0,2.8267,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-03,2,1.4355432459678523,0.0,65.52,0.0,2.771,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-04,2,1.2968665294508641,0.0,64.34,0.0,2.7395,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-05,2,1.8989787830468745,0.0,71.19,0.0,2.839,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-06,2,1.3668410425981028,0.0,70.14,0.0,2.89,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-07,0,-0.583049275701253,0.0,68.38,0.0,3.3072,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-08,0,-0.7242468642854791,0.0,70.02,0.0,3.4171,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-09,0,-0.7908458232056143,0.0,71.33,0.0,3.4945,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-10,0,-0.712757929133927,0.0,69.77,0.0,3.3862,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-11,-2,-1.9233148137197256,0.0,72.68,0.0,3.9931,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-12,-2,-1.7064649880390415,0.0,73.12,0.0,3.9953,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-13,-2,-1.494877615043824,0.0,72.01,0.0,3.8765,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-14,-2,-2.1502319243392454,0.0,72.92,0.0,4.426,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-15,-2,-2.2826797640823724,0.0,64.46,0.0,4.3241,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-16,-2,-2.2605731568619056,0.0,60.0,0.0,4.4566,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-17,-2,-1.593573117378517,0.0,64.2,0.0,4.3108,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-18,-2,-1.516536693297607,0.0,65.74,0.0,4.5523,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-19,-2,-1.4145564518354947,0.0,62.1,0.0,4.3873,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-20,-2,-1.2484444556382224,0.0,60.79,0.0,4.2644,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-21,-1,-1.0974153744357098,1643.9746179867282,61.56,-23657.739371467338,4.2778,200000,202406.15496652597,2406.1549665259663,1.0120307748326298
2020-02-22,-1,-0.9031887657071915,1643.9746179867282,60.73,-23657.739371467338,4.1066,200000,196991.45105320177,-3008.548946798226,0.9849572552660089
2020-02-23,-1,-0.7798661781392026,1643.9746179867282,63.32,-23657.739371467338,4.2365,200000,204322.48565814103,4322.485658141028,1.021612428290705
2020-02-24,-1,-0.5539982394907644,1643.9746179867282,60.7,-23657.739371467338,3.9148,200000,192404.57740321476,-7595.42259678524,0.9620228870160739
2020-02-25,-1,-0.21913882839744908,1643.9746179867282,57.06,-23657.739371467338,3.4905,200000,176382.53097842945,-23617.46902157055,0.8819126548921472
2020-02-26,-1,-0.8394350676055872,1643.9746179867282,51.33,-23657.739371467338,3.5648,200000,168720.3264526655,-31279.673547334503,0.8436016322633275
2020-02-27,-1,-1.1489579748759617,1643.9746179867282,52.96,-23657.739371467338,3.9579,200000,180699.8624269077,-19300.137573092303,0.9034993121345385
2020-02-28,-2,-1.50859234255748,0.0,50.83,0.0,4.1609,200000,217280.412884999,17280.41288499901,1.086402064424995
2020-02-29,-2,-1.4824847269726165,0.0,48.96,0.0,4.0579,200000,217280.412884999,17280.41288499901,1.086402064424995
2020-03-01,-1,-1.1707622785909908,2212.6314957739205,49.1,-28152.424576962814,3.859,200000,217280.412884999,17280.41288499901,1.086402064424995
2020-03-02,-2,-1.2777909898421014,0.0,52.33,0.0,4.2423,200000,220924.4374939991,20924.43749399911,1.1046221874699955
2020-03-03,-2,-1.831047426456735,0.0,50.78,0.0,4.5846,200000,220924.4374939991,20924.43749399911,1.1046221874699955
2020-03-04,-2,-1.9288793870025949,0.0,50.17,0.0,4.6406,200000,220924.4374939991,20924.43749399911,1.1046221874699955
2020-03-05,-2,-1.6399987749678204,0.0,51.84,0.0,4.7151,200000,220924.4374939991,20924.43749399911,1.1046221874699955
