date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,NULSUSDT_position,NULSUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.2308,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.2207,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.2284,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.2337,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.234,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.2456,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.23,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.2251,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.226,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.2339,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.2382,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.2348,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.2584,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.2585,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.2692,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.2754,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.2618,200000,200000.0,0.0,1.0
2020-01-20,2,1.315079822961132,0.0,53.68,0.0,0.2635,200000,200000.0,0.0,1.0
2020-01-21,1,1.0101000764433072,-1877.581674802854,53.26,369822.48520710063,0.2704,200000,200000.0,0.0,1.0
2020-01-22,1,0.7033872353927,-1877.581674802854,52.21,369822.48520710063,0.2757,200000,199988.59841305466,-11.401586945343297,0.9999429920652733
2020-01-23,1,0.7225018268041749,-1877.581674802854,49.6,369822.48520710063,0.2575,200000,188357.34101104998,-11642.658988950017,0.9417867050552499
2020-01-24,1,0.3128058051047833,-1877.581674802854,48.82,369822.48520710063,0.2683,200000,190886.91014494043,-9113.089855059574,0.9544345507247022
2020-01-25,1,0.3646124973110665,-1877.581674802854,48.72,369822.48520710063,0.2624,200000,188517.19931473827,-11482.800685261725,0.9425859965736914
2020-01-26,1,0.7826448248829577,-1877.581674802854,53.65,369822.48520710063,0.2684,200000,199992.6118827589,-7.388117241091095,0.9999630594137946
2020-01-27,1,0.8506432606524966,-1877.581674802854,55.18,369822.48520710063,0.2704,200000,203604.95681562147,3604.9568156214664,1.0180247840781074
2020-01-28,1,0.9079408055385305,-1877.581674802854,56.74,369822.48520710063,0.2733,200000,207606.46943541453,7606.469435414532,1.0380323471770727
2020-01-29,2,1.5966866386539542,0.0,61.74,0.0,0.2717,200000,215441.12337155896,15441.123371558962,1.0772056168577948
2020-01-30,2,1.8501772549949278,0.0,66.3,0.0,0.2786,200000,215441.12337155896,15441.123371558962,1.0772056168577948
2020-01-31,2,1.6460349691486063,0.0,66.51,0.0,0.2815,200000,215441.12337155896,15441.123371558962,1.0772056168577948
2020-02-01,1,1.196822189206277,-1631.388182428888,66.03,370428.34142290056,0.2908,200000,215441.12337155896,15441.123371558962,1.0772056168577948
2020-02-02,1,0.57132684985031,-1631.388182428888,66.36,370428.34142290056,0.3076,200000,222202.67760766522,22202.677607665217,1.1110133880383262
2020-02-03,1,0.43184827976864526,-1631.388182428888,65.52,370428.34142290056,0.3054,200000,220017.3691832946,20017.36918329459,1.100086845916473
2020-02-04,0,-0.7071209521285242,0.0,64.34,0.0,0.3321,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-05,0,0.06099345238444127,0.0,71.19,0.0,0.3427,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-06,0,-0.5425667526187258,0.0,70.14,0.0,0.3579,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-07,0,-0.4545587822183146,0.0,68.38,0.0,0.3448,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-08,0,-0.2975918262564808,0.0,70.02,0.0,0.3482,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-09,0,-0.48995651304565646,0.0,71.33,0.0,0.3609,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-10,0,-0.2620699756195496,0.0,69.77,0.0,0.3461,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-11,0,-0.5147615219470311,0.0,72.68,0.0,0.3668,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-12,-2,-1.3487497431297961,0.0,73.12,0.0,0.3976,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-13,-2,-1.3528684665205963,0.0,72.01,0.0,0.391,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-14,-2,-1.9835238565138198,0.0,72.92,0.0,0.4271,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
2020-02-15,-2,-1.5641132816090053,0.0,64.46,0.0,0.3688,200000,197385.38684248837,-2614.6131575116306,0.9869269342124418
