date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,ZRXUSDT_position,ZRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.1825,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.1752,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.1821,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.1864,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.1861,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.1958,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.1878,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.2133,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.2058,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.2026,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.2064,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.2182,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.2102,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.2459,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.2474,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.2547,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.2455,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.2312,200000,200000.0,0.0,1.0
2020-01-20,2,1.6856945784873962,0.0,53.68,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-21,1,1.1806862540257543,-1877.581674802854,53.26,414078.67494824016,0.2415,200000,200000.0,0.0,1.0
2020-01-22,1,0.9131758422761597,-1877.581674802854,52.21,414078.67494824016,0.2425,200000,198442.61791640526,-1557.3820835947408,0.9922130895820263
2020-01-23,1,0.8843533975829307,-1877.581674802854,49.6,414078.67494824016,0.2283,200000,187662.2125609048,-12337.787439095206,0.9383110628045239
2020-01-24,1,0.7162895356848004,-1877.581674802854,48.82,414078.67494824016,0.2275,200000,185866.43591459998,-14133.564085400023,0.9293321795729999
2020-01-25,1,0.727550034136053,-1877.581674802854,48.72,414078.67494824016,0.2242,200000,184312.2181197905,-15687.781880209513,0.9215610905989524
2020-01-26,1,1.1292053207261388,-1877.581674802854,53.65,414078.67494824016,0.2305,200000,196177.39142874247,-3822.6085712575295,0.9808869571437123
2020-01-27,1,1.1826913951216134,-1877.581674802854,55.18,414078.67494824016,0.2316,200000,199505.5779336339,-494.42206636609626,0.9975278896681695
2020-01-28,2,1.3182933950429974,0.0,56.74,0.0,0.2316,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-01-29,2,2.0910508168658843,0.0,61.74,0.0,0.2255,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-01-30,2,2.120255495800156,0.0,66.3,0.0,0.2331,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-01-31,2,2.039577411275644,0.0,66.51,0.0,0.2284,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-02-01,2,1.6955698074028795,0.0,66.03,0.0,0.2321,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-02-02,2,1.335782518257109,0.0,66.36,0.0,0.2395,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-02-03,2,1.2542703338459251,0.0,65.52,0.0,0.236,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-02-04,0,0.3754084164083949,0.0,64.34,0.0,0.2538,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-02-05,1,1.0506860815101742,-1479.3746531135096,71.19,408362.47210217424,0.2579,200000,210633.3631103015,10633.363110301492,1.0531668155515075
2020-02-06,0,0.18699515277126152,0.0,70.14,0.0,0.2783,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-07,0,-0.08496894549518125,0.0,68.38,0.0,0.2776,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-08,0,0.23555092358837182,0.0,70.02,0.0,0.273,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-09,0,-0.37222501746241826,0.0,71.33,0.0,0.2959,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-10,0,-0.2363353433190314,0.0,69.77,0.0,0.2835,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-11,0,-0.5480592623587998,0.0,72.68,0.0,0.3025,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-12,0,-0.8391352361651813,0.0,73.12,0.0,0.3109,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-13,-2,-1.3571639641907003,0.0,72.01,0.0,0.3198,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-14,-2,-1.9501620967986202,0.0,72.92,0.0,0.3461,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-15,-2,-2.061502913324735,0.0,64.46,0.0,0.3201,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-16,-2,-1.8229683583611018,0.0,60.0,0.0,0.2984,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-17,-1,-1.0525345896188723,1563.4690443430527,64.2,-343984.6218191364,0.2918,200000,200749.42529364798,749.4252936479752,1.0037471264682398
2020-02-18,-1,-1.1427180714550909,1563.4690443430527,65.74,-343984.6218191364,0.3073,200000,208488.9292601329,8488.929260132893,1.0424446463006645
2020-02-19,-1,-0.7797951770300364,1563.4690443430527,62.1,-343984.6218191364,0.2798,200000,193338.3248386979,-6661.67516130209,0.9666916241934895
2020-02-20,-1,-0.8227383117549846,1563.4690443430527,60.79,-343984.6218191364,0.278,200000,190671.0080713341,-9328.991928665899,0.9533550403566705
2020-02-21,-1,-0.9404114815838298,1563.4690443430527,61.56,-343984.6218191364,0.2882,200000,195383.52237803343,-4616.4776219665655,0.9769176118901671
2020-02-22,-1,-0.7642771073175286,1563.4690443430527,60.73,-343984.6218191364,0.2811,200000,191643.5522563128,-8356.447743687197,0.958217761281564
2020-02-23,-1,-0.516306691081886,1563.4690443430527,63.32,-343984.6218191364,0.2878,200000,197997.63404734957,-2002.3659526504343,0.9899881702367478
2020-02-24,0,-0.11420821319344877,0.0,60.7,0.0,0.2675,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-02-25,0,-0.04117555078098144,0.0,57.06,0.0,0.2525,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-02-26,0,-0.44033913107334866,0.0,51.33,0.0,0.2351,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-02-27,0,-0.4577611374872903,0.0,52.96,0.0,0.2441,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-02-28,0,-0.6421241585017422,0.0,50.83,0.0,0.238,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-02-29,0,-0.5328408921198039,0.0,48.96,0.0,0.2288,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-01,0,-0.5129743123680754,0.0,49.1,0.0,0.23,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-02,0,-0.9607830463397848,0.0,52.33,0.0,0.2505,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-03,-2,-1.9517106124787496,0.0,50.78,0.0,0.2543,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-04,-2,-2.4718731535978793,0.0,50.17,0.0,0.2633,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-05,-2,-2.239080627819444,0.0,51.84,0.0,0.2758,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-06,-2,-1.9908039811014782,0.0,53.3,0.0,0.2838,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-07,-2,-1.492306318437087,0.0,50.59,0.0,0.2628,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-08,-2,-1.4661598852919762,0.0,42.83,0.0,0.2249,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
2020-03-09,-2,-1.318956360999303,0.0,42.18,0.0,0.2216,200000,197862.74063864368,-2137.259361356322,0.9893137031932184
