date,statusList,zscore,ZILUSDT_position,ZILUSDT_price,ZRXUSDT_position,ZRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00454,0.0,0.1825,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00438,0.0,0.1752,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00454,0.0,0.1821,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00461,0.0,0.1864,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00463,0.0,0.1861,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00489,0.0,0.1958,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00481,0.0,0.1878,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00469,0.0,0.2133,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00459,0.0,0.2058,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00469,0.0,0.2026,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00465,0.0,0.2064,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00478,0.0,0.2182,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00467,0.0,0.2102,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00507,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00523,0.0,0.2459,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00514,0.0,0.2474,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00544,0.0,0.2547,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00528,0.0,0.2455,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00511,0.0,0.2312,200000,200000.0,0.0,1.0
2020-01-20,0,-0.5887914322076572,0.0,0.0051,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-21,0,-0.9944221603266107,0.0,0.00512,0.0,0.2415,200000,200000.0,0.0,1.0
2020-01-22,0,-0.7855673826543602,0.0,0.00519,0.0,0.2425,200000,200000.0,0.0,1.0
2020-01-23,0,-0.49979763282747686,0.0,0.00496,0.0,0.2283,200000,200000.0,0.0,1.0
2020-01-24,0,-0.4322807909521612,0.0,0.00494,0.0,0.2275,200000,200000.0,0.0,1.0
2020-01-25,0,-0.10032192319712904,0.0,0.00494,0.0,0.2242,200000,200000.0,0.0,1.0
2020-01-26,0,0.19517175920224733,0.0,0.00512,0.0,0.2305,200000,200000.0,0.0,1.0
2020-01-27,0,0.41343363022669555,0.0,0.00511,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-28,2,1.7489364013560893,0.0,0.00531,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-29,2,2.9974907803196493,0.0,0.00552,0.0,0.2255,200000,200000.0,0.0,1.0
2020-01-30,2,1.970062961850636,0.0,0.00554,0.0,0.2331,200000,200000.0,0.0,1.0
2020-01-31,2,3.0223141542562133,0.0,0.00593,0.0,0.2284,200000,200000.0,0.0,1.0
2020-02-01,2,2.3443186115278087,0.0,0.00601,0.0,0.2321,200000,200000.0,0.0,1.0
2020-02-02,2,1.9659546990600694,0.0,0.0062,0.0,0.2395,200000,200000.0,0.0,1.0
2020-02-03,2,1.9376743014693871,0.0,0.00624,0.0,0.236,200000,200000.0,0.0,1.0
2020-02-04,2,1.8683166166359455,0.0,0.00683,0.0,0.2538,200000,200000.0,0.0,1.0
2020-02-05,2,1.554668108270889,0.0,0.00688,0.0,0.2579,200000,200000.0,0.0,1.0
2020-02-06,2,1.4233162730491713,0.0,0.00745,0.0,0.2783,200000,200000.0,0.0,1.0
2020-02-07,2,2.2609387497761793,0.0,0.00825,0.0,0.2776,200000,200000.0,0.0,1.0
2020-02-08,2,1.231606001660364,0.0,0.00751,0.0,0.273,200000,200000.0,0.0,1.0
2020-02-09,0,0.8503584385471142,0.0,0.00792,0.0,0.2959,200000,200000.0,0.0,1.0
2020-02-10,0,0.73059979248806,0.0,0.00756,0.0,0.2835,200000,200000.0,0.0,1.0
2020-02-11,0,0.8134310505672931,0.0,0.00819,0.0,0.3025,200000,200000.0,0.0,1.0
2020-02-12,0,0.5639274021450245,0.0,0.00829,0.0,0.3109,200000,200000.0,0.0,1.0
2020-02-13,0,-0.126248547289178,0.0,0.0081,0.0,0.3198,200000,200000.0,0.0,1.0
2020-02-14,0,0.08681260726251788,0.0,0.00898,0.0,0.3461,200000,200000.0,0.0,1.0
