date,statusList,zscore,ZRXUSDT_position,ZRXUSDT_price,LINKUSDT_position,LINKUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1825,0.0,1.8111,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1752,0.0,1.7366,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1821,0.0,1.804,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1864,0.0,1.8242,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1861,0.0,1.7957,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1958,0.0,1.9374,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1878,0.0,2.1033,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2133,0.0,2.1892,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.2058,0.0,2.1886,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2026,0.0,2.2257,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2064,0.0,2.2734,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2182,0.0,2.2383,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2102,0.0,2.1901,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.238,0.0,2.3751,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2459,0.0,2.3953,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2474,0.0,2.4925,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2547,0.0,2.7006,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2455,0.0,2.7709,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2312,0.0,2.6212,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.8176015571334905,0.0,0.2316,0.0,2.688,200000,200000.0,0.0,1.0
2020-01-21,0,-0.9541058067502557,0.0,0.2415,0.0,2.6716,200000,200000.0,0.0,1.0
2020-01-22,0,-0.6353895649059544,0.0,0.2425,0.0,2.6426,200000,200000.0,0.0,1.0
2020-01-23,0,-0.4475444028128212,0.0,0.2283,0.0,2.4698,200000,200000.0,0.0,1.0
2020-01-24,0,-0.6530611459837967,0.0,0.2275,0.0,2.5024,200000,200000.0,0.0,1.0
2020-01-25,0,-0.43742136922292124,0.0,0.2242,0.0,2.4468,200000,200000.0,0.0,1.0
2020-01-26,0,-0.8188175974213489,0.0,0.2305,0.0,2.5764,200000,200000.0,0.0,1.0
2020-01-27,0,-0.9402628071579504,0.0,0.2316,0.0,2.6055,200000,200000.0,0.0,1.0
2020-01-28,-1,-1.1869256808146367,431778.9291882556,0.2316,-37653.43775886738,2.6558,200000,200000.0,0.0,1.0
