date,statusList,zscore,ZRXUSDT_position,ZRXUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1825,0.0,41.62,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1752,0.0,39.43,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1821,0.0,42.23,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1864,0.0,42.78,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1861,0.0,43.3,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1958,0.0,45.8,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1878,0.0,46.3,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2133,0.0,45.35,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.2058,0.0,44.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2026,0.0,49.06,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2064,0.0,49.3,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2182,0.0,51.43,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2102,0.0,49.6,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.238,0.0,58.39,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2459,0.0,58.16,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2474,0.0,57.56,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2547,0.0,61.02,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2455,0.0,59.32,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2312,0.0,57.6,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.1819770120601365,431778.9291882556,0.2316,-1748.5574401119077,57.19,200000,200000.0,0.0,1.0
2020-01-21,-1,-0.31698476114069896,431778.9291882556,0.2415,-1748.5574401119077,57.57,200000,204939.06322620626,4939.063226206257,1.0246953161310313
2020-01-22,-1,-0.4615888205878122,431778.9291882556,0.2425,-1748.5574401119077,58.33,200000,206699.74580987956,6699.745809879561,1.0334987290493978
2020-01-23,-1,-0.25059115901701895,431778.9291882556,0.2283,-1748.5574401119077,54.52,200000,193906.48116857995,-6093.5188314200495,0.9695324058428998
