date,open,high,low,close,volume
2020-01-01,1.11850000,1.14000000,1.07450000,1.13640000,453949.55000000
2020-01-02,1.13630000,1.14340000,1.01280000,1.01720000,648150.64000000
2020-01-03,1.01750000,1.09900000,1.01110000,1.02410000,1094809.13000000
2020-01-04,1.02410000,1.05780000,1.02210000,1.04010000,637514.28000000
2020-01-05,1.04010000,1.06500000,1.02340000,1.03100000,497836.73000000
2020-01-06,1.03100000,1.05780000,1.02300000,1.05290000,832457.68000000
2020-01-07,1.05620000,1.14970000,1.04680000,1.08810000,1532631.16000000
2020-01-08,1.09510000,1.09920000,1.03320000,1.07000000,786480.92000000
2020-01-09,1.07320000,1.07790000,1.02500000,1.02610000,789710.95000000
2020-01-10,1.02650000,1.05000000,0.98720000,1.05000000,457170.58000000
2020-01-11,1.04990000,1.05040000,1.02270000,1.02500000,426350.21000000
2020-01-12,1.02500000,1.04320000,1.02320000,1.03610000,148339.10000000
2020-01-13,1.03620000,1.03700000,0.99470000,1.01330000,427752.70000000
2020-01-14,1.01270000,1.04000000,0.99700000,1.01370000,821468.80000000
2020-01-15,1.01400000,1.05900000,1.00850000,1.02300000,669511.97000000
2020-01-16,1.02300000,1.13300000,1.01940000,1.09810000,1072129.46000000
2020-01-17,1.09820000,1.14500000,1.09510000,1.11250000,597761.89000000
2020-01-18,1.11120000,1.11820000,1.03600000,1.05320000,321762.73000000
2020-01-19,1.05940000,1.08110000,1.03000000,1.04840000,307269.65000000
2020-01-20,1.05010000,1.07000000,1.04010000,1.06100000,178759.89000000
2020-01-21,1.06140000,1.08600000,1.03050000,1.07990000,218182.82000000
2020-01-22,1.07310000,1.07840000,1.04810000,1.06900000,126504.09000000
2020-01-23,1.06900000,1.13000000,1.05440000,1.08220000,484210.60000000
2020-01-24,1.08900000,1.09810000,1.04910000,1.06210000,148357.05000000
2020-01-25,1.06210000,1.12990000,1.05580000,1.11840000,359913.61000000
2020-01-26,1.11840000,1.13000000,1.10000000,1.10450000,139683.39000000
2020-01-27,1.10800000,1.11820000,1.08000000,1.09870000,292469.71000000
2020-01-28,1.09810000,1.10560000,1.05460000,1.07220000,377466.63000000
2020-01-29,1.06720000,1.07210000,1.03810000,1.03850000,398305.48000000
2020-01-30,1.03860000,1.07150000,1.03850000,1.04790000,379866.96000000
2020-01-31,1.04610000,1.11500000,1.04250000,1.05650000,1324576.01000000
2020-02-01,1.05640000,1.08000000,1.05150000,1.05630000,452931.33000000
2020-02-02,1.05650000,1.06370000,1.03730000,1.05060000,425035.28000000
2020-02-03,1.04940000,1.06550000,1.03990000,1.05530000,565482.76000000
2020-02-04,1.05520000,1.21000000,1.04420000,1.15020000,2338230.92000000
2020-02-05,1.15020000,1.27300000,1.08520000,1.20020000,2134950.06000000
2020-02-06,1.20040000,1.40000000,1.20000000,1.28700000,983879.44000000
2020-02-07,1.28700000,1.35990000,1.23240000,1.23700000,506754.83000000
2020-02-08,1.23700000,1.23970000,1.12710000,1.15200000,1032963.91000000
2020-02-09,1.15200000,1.22200000,1.15170000,1.18980000,534442.86000000
2020-02-10,1.19180000,1.19910000,1.14010000,1.15900000,523396.54000000
2020-02-11,1.15850000,1.18100000,1.13900000,1.17450000,644475.94000000
2020-02-12,1.17450000,1.28900000,1.15170000,1.21860000,1670070.65000000
2020-02-13,1.21870000,1.25120000,1.15590000,1.16150000,797424.51000000
2020-02-14,1.16110000,1.23500000,1.14880000,1.20830000,603386.90000000
2020-02-15,1.21000000,1.23060000,1.09270000,1.10940000,589976.82000000
2020-02-16,1.10940000,1.12420000,0.92080000,1.04800000,963842.99000000
2020-02-17,1.04850000,1.05000000,0.91500000,0.97540000,954122.78000000
2020-02-18,0.98070000,1.03610000,0.95170000,0.97000000,1357682.51000000
2020-02-19,0.97000000,1.00260000,0.83050000,0.85710000,1564768.50000000
2020-02-20,0.85260000,0.89790000,0.82610000,0.88670000,1719331.73000000
2020-02-21,0.88740000,0.93290000,0.86310000,0.87970000,855382.31000000
2020-02-22,0.87970000,0.89890000,0.85400000,0.88550000,330647.83000000
2020-02-23,0.89250000,0.98000000,0.88700000,0.95760000,925911.16000000
2020-02-24,0.95760000,0.97990000,0.85130000,0.88460000,1080576.72000000
2020-02-25,0.88460000,0.89890000,0.82430000,0.84490000,443060.09000000
2020-02-26,0.84000000,0.95000000,0.76000000,0.83660000,2035893.88000000
2020-02-27,0.83800000,0.88240000,0.80130000,0.83440000,810325.08000000
2020-02-28,0.83440000,0.88150000,0.79180000,0.81730000,642561.83000000
2020-02-29,0.81600000,0.84930000,0.80000000,0.81210000,375936.61000000
2020-03-01,0.81210000,0.85690000,0.77900000,0.82980000,352477.67000000
2020-03-02,0.82540000,0.87850000,0.82250000,0.85570000,526411.88000000
2020-03-03,0.85710000,0.92550000,0.85050000,0.88070000,849550.07000000
2020-03-04,0.88070000,0.93610000,0.86600000,0.92060000,1183932.66000000
2020-03-05,0.92060000,0.96780000,0.89970000,0.92480000,1219232.96000000
2020-03-06,0.92130000,0.93550000,0.88000000,0.89110000,576071.23000000
2020-03-07,0.89130000,0.94220000,0.84270000,0.85340000,1041489.75000000
2020-03-08,0.85200000,0.95300000,0.79890000,0.80520000,2323966.37000000
2020-03-09,0.80220000,0.85500000,0.77000000,0.82590000,1151507.65000000
2020-03-10,0.82590000,0.93000000,0.78000000,0.89770000,1728430.05000000
2020-03-11,0.89720000,0.98960000,0.80920000,0.88080000,3127462.69000000
2020-03-12,0.88080000,0.89630000,0.36380000,0.38000000,3711875.76000000
2020-03-13,0.38000000,0.51990000,0.24030000,0.44180000,2229141.35000000
2020-03-14,0.45150000,0.47120000,0.39300000,0.40550000,994625.78000000
2020-03-15,0.40700000,0.46980000,0.40020000,0.41390000,847359.21000000
2020-03-16,0.41360000,0.41450000,0.30840000,0.34500000,997826.39000000
2020-03-17,0.34500000,0.40260000,0.33950000,0.38430000,477382.11000000
2020-03-18,0.38600000,0.39270000,0.34560000,0.38850000,605148.01000000
2020-03-19,0.39080000,0.44990000,0.35050000,0.42580000,1108387.99000000
2020-03-20,0.42780000,0.48800000,0.37000000,0.42280000,787656.32000000
2020-03-21,0.42290000,0.44260000,0.39710000,0.42610000,295662.50000000
2020-03-22,0.42430000,0.43870000,0.38430000,0.38790000,217712.67000000
2020-03-23,0.38420000,0.44390000,0.38020000,0.43930000,461607.56000000
2020-03-24,0.43990000,0.46690000,0.42380000,0.44180000,417252.09000000
2020-03-25,0.44440000,0.52500000,0.43020000,0.51510000,833723.80000000
2020-03-26,0.51680000,0.55090000,0.47670000,0.50860000,1333684.61000000
2020-03-27,0.51160000,0.51980000,0.45040000,0.45710000,438486.74000000
2020-03-28,0.45270000,0.47410000,0.43060000,0.45460000,712101.75000000
2020-03-29,0.45470000,0.45660000,0.41550000,0.42690000,350289.11000000
2020-03-30,0.42410000,0.49940000,0.42380000,0.46610000,489238.43000000
2020-03-31,0.46720000,0.51620000,0.46720000,0.48640000,623762.87000000
2020-04-01,0.48850000,0.50580000,0.44870000,0.48950000,778096.51000000
2020-04-02,0.48950000,0.54550000,0.47350000,0.50690000,1080046.88000000
2020-04-03,0.50830000,0.54260000,0.49810000,0.51160000,667778.04000000
2020-04-04,0.50940000,0.52110000,0.49100000,0.51410000,10537811.24000000
2020-04-05,0.51490000,0.57000000,0.50560000,0.53600000,6978276.16000000
2020-04-06,0.53500000,0.60230000,0.52650000,0.60140000,15853291.14000000
2020-04-07,0.60060000,0.61470000,0.55380000,0.56830000,11054061.13000000
2020-04-08,0.56900000,0.58090000,0.55780000,0.57640000,4078370.38000000
2020-04-09,0.57510000,0.58340000,0.54550000,0.55170000,3792848.17000000
2020-04-10,0.55290000,0.55430000,0.48680000,0.49990000,4666938.97000000
2020-04-11,0.50000000,0.51200000,0.47760000,0.49150000,2345265.95000000
2020-04-12,0.49090000,0.54030000,0.48370000,0.51370000,3232943.19000000
2020-04-13,0.51250000,0.51360000,0.47870000,0.50650000,3462230.01000000
2020-04-14,0.50800000,0.57650000,0.50580000,0.52170000,2482115.54000000
2020-04-15,0.52080000,0.52490000,0.49000000,0.49430000,2714607.53000000
2020-04-16,0.49440000,0.54000000,0.46590000,0.52500000,2705363.45000000
2020-04-17,0.52500000,0.53300000,0.51760000,0.52030000,2103916.21000000
2020-04-18,0.51840000,0.57170000,0.51820000,0.57080000,5733321.67000000
2020-04-19,0.57070000,0.57080000,0.53260000,0.54500000,6297690.18000000
2020-04-20,0.54390000,0.55320000,0.52000000,0.52670000,6906688.15000000
2020-04-21,0.52710000,0.52830000,0.51060000,0.52530000,3758735.32000000
2020-04-22,0.52540000,0.54560000,0.51630000,0.53000000,2913494.21000000
2020-04-23,0.53040000,0.55700000,0.52050000,0.53200000,2567149.35000000
2020-04-24,0.53490000,0.55320000,0.53100000,0.55320000,2660462.46000000
2020-04-25,0.55320000,0.57980000,0.54500000,0.57260000,2937757.69000000
2020-04-26,0.57260000,0.63460000,0.56890000,0.61590000,3364485.05000000
2020-04-27,0.61680000,0.63700000,0.56990000,0.60050000,3017039.63000000
2020-04-28,0.59870000,0.61040000,0.59070000,0.60130000,1348277.82000000
2020-04-29,0.60230000,0.63480000,0.59780000,0.62240000,4363870.28000000
2020-04-30,0.62250000,0.64600000,0.57160000,0.57990000,4434645.32000000
2020-05-01,0.57980000,0.61500000,0.57910000,0.59220000,2041667.58000000
2020-05-02,0.59210000,0.60470000,0.59080000,0.60150000,2120239.89000000
2020-05-03,0.60150000,0.60740000,0.56300000,0.57250000,2653623.06000000
2020-05-04,0.57160000,0.57910000,0.52790000,0.55770000,2415378.60000000
2020-05-05,0.55610000,0.56870000,0.53000000,0.54250000,2560695.96000000
2020-05-06,0.54260000,0.54670000,0.52120000,0.52290000,2949176.45000000
2020-05-07,0.52110000,0.52900000,0.48110000,0.50120000,2661900.55000000
2020-05-08,0.50140000,0.53800000,0.50110000,0.52360000,2747947.41000000
2020-05-09,0.52250000,0.55080000,0.50850000,0.51040000,2480396.76000000
2020-05-10,0.51140000,0.51150000,0.44410000,0.46700000,4066421.15000000
2020-05-11,0.46420000,0.47130000,0.41610000,0.43950000,3430446.05000000
2020-05-12,0.43860000,0.49960000,0.43530000,0.46720000,2838244.59000000
2020-05-13,0.46780000,0.50490000,0.45980000,0.48930000,2589840.38000000
2020-05-14,0.48940000,0.53660000,0.48940000,0.52430000,2579312.87000000
2020-05-15,0.52600000,0.57230000,0.51310000,0.51920000,2801881.90000000
2020-05-16,0.51830000,0.57230000,0.51670000,0.56870000,2962376.66000000
2020-05-17,0.56810000,0.58390000,0.54870000,0.54940000,2286457.89000000
2020-05-18,0.54900000,0.57610000,0.54900000,0.57260000,2615051.30000000
2020-05-19,0.57260000,0.63700000,0.55540000,0.61860000,3305103.50000000
2020-05-20,0.61930000,0.67610000,0.60140000,0.61600000,3377292.52000000
2020-05-21,0.61530000,0.70920000,0.59010000,0.70340000,3729075.66000000
2020-05-22,0.70210000,0.73670000,0.63500000,0.70700000,4314113.07000000
