date,open,high,low,close,volume
2020-01-01,0.06280000,0.06480000,0.06200000,0.06400000,193963.36000000
2020-01-02,0.06400000,0.06480000,0.06090000,0.06140000,332002.06000000
2020-01-03,0.06140000,0.06500000,0.06050000,0.06330000,258906.95000000
2020-01-04,0.06350000,0.07110000,0.06350000,0.06980000,1307237.59000000
2020-01-05,0.06930000,0.07080000,0.06560000,0.06680000,308848.60000000
2020-01-06,0.06700000,0.06870000,0.06550000,0.06730000,292242.16000000
2020-01-07,0.06740000,0.07370000,0.06740000,0.07060000,849235.64000000
2020-01-08,0.07110000,0.07240000,0.06400000,0.06430000,684885.11000000
2020-01-09,0.06430000,0.06660000,0.06340000,0.06400000,917777.97000000
2020-01-10,0.06430000,0.06670000,0.06330000,0.06660000,428551.77000000
2020-01-11,0.06600000,0.06840000,0.06430000,0.06720000,187137.94000000
2020-01-12,0.06660000,0.07090000,0.06660000,0.07010000,326980.56000000
2020-01-13,0.07030000,0.07070000,0.06720000,0.06830000,287567.20000000
2020-01-14,0.06850000,0.07550000,0.04760000,0.07200000,882239.75000000
2020-01-15,0.07180000,0.07870000,0.06940000,0.07710000,845737.25000000
2020-01-16,0.07660000,0.07660000,0.07000000,0.07480000,454119.36000000
2020-01-17,0.07440000,0.07710000,0.07240000,0.07590000,374454.83000000
2020-01-18,0.07550000,0.07850000,0.07270000,0.07540000,339378.24000000
2020-01-19,0.07510000,0.07690000,0.06850000,0.07120000,695032.51000000
2020-01-20,0.07110000,0.07200000,0.06670000,0.06820000,751401.81000000
2020-01-21,0.06820000,0.07320000,0.06690000,0.07020000,667714.93000000
2020-01-22,0.07020000,0.07280000,0.06980000,0.07120000,336062.52000000
2020-01-23,0.07100000,0.07130000,0.06750000,0.06980000,151599.77000000
2020-01-24,0.06980000,0.06980000,0.06660000,0.06900000,148471.20000000
2020-01-25,0.06850000,0.07320000,0.06770000,0.07070000,467234.18000000
2020-01-26,0.07040000,0.07160000,0.06960000,0.07060000,311366.45000000
2020-01-27,0.07100000,0.07250000,0.07050000,0.07190000,258151.96000000
2020-01-28,0.07140000,0.07420000,0.07120000,0.07300000,362976.27000000
2020-01-29,0.07300000,0.07370000,0.07120000,0.07200000,107555.81000000
2020-01-30,0.07140000,0.07900000,0.07130000,0.07610000,912527.11000000
2020-01-31,0.07600000,0.08970000,0.07550000,0.08280000,2859386.49000000
2020-02-01,0.08280000,0.08520000,0.07880000,0.08430000,777098.84000000
2020-02-02,0.08390000,0.08640000,0.07900000,0.08400000,711047.43000000
2020-02-03,0.08400000,0.09090000,0.08060000,0.08150000,327821.03000000
2020-02-04,0.08160000,0.09050000,0.08100000,0.08900000,1071824.35000000
2020-02-05,0.08950000,0.09250000,0.08730000,0.09000000,553402.26000000
2020-02-06,0.09040000,0.10420000,0.08870000,0.09440000,1675341.86000000
2020-02-07,0.09430000,0.11990000,0.09410000,0.10830000,2379222.46000000
2020-02-08,0.10770000,0.10890000,0.09680000,0.10340000,897858.09000000
2020-02-09,0.10460000,0.11300000,0.09930000,0.11030000,1672718.30000000
2020-02-10,0.11060000,0.11100000,0.09690000,0.10010000,1195943.13000000
2020-02-11,0.09990000,0.10490000,0.09580000,0.10310000,958205.61000000
2020-02-12,0.10320000,0.12640000,0.10310000,0.11880000,3056893.70000000
2020-02-13,0.11930000,0.12160000,0.10760000,0.11190000,1008536.74000000
2020-02-14,0.11230000,0.12850000,0.11040000,0.11930000,926516.86000000
2020-02-15,0.11940000,0.12920000,0.10360000,0.10860000,1538203.12000000
2020-02-16,0.10700000,0.12000000,0.08650000,0.10150000,1538649.98000000
2020-02-17,0.10050000,0.10130000,0.08770000,0.09690000,1140922.90000000
2020-02-18,0.09790000,0.10430000,0.09050000,0.10120000,576626.60000000
2020-02-19,0.10080000,0.10430000,0.08880000,0.08960000,479965.26000000
2020-02-20,0.08960000,0.09240000,0.08400000,0.08940000,811462.37000000
2020-02-21,0.08920000,0.09680000,0.08820000,0.09020000,550778.98000000
2020-02-22,0.09000000,0.09240000,0.08510000,0.08890000,400241.96000000
2020-02-23,0.08950000,0.09500000,0.08880000,0.09170000,486104.56000000
2020-02-24,0.09210000,0.09800000,0.08830000,0.09290000,1678155.31000000
2020-02-25,0.09360000,0.09990000,0.08590000,0.08750000,1649650.90000000
2020-02-26,0.08730000,0.08730000,0.07100000,0.07520000,1297926.34000000
2020-02-27,0.07520000,0.08230000,0.07050000,0.07640000,716812.56000000
2020-02-28,0.07660000,0.07960000,0.07170000,0.07510000,549319.92000000
2020-02-29,0.07580000,0.07770000,0.07360000,0.07360000,169848.75000000
2020-03-01,0.07400000,0.07760000,0.07190000,0.07400000,519812.25000000
2020-03-02,0.07400000,0.07830000,0.07360000,0.07730000,557963.27000000
2020-03-03,0.07710000,0.08350000,0.07600000,0.07900000,912127.13000000
2020-03-04,0.07870000,0.08310000,0.07830000,0.08130000,379044.13000000
2020-03-05,0.08130000,0.08580000,0.08120000,0.08220000,582286.16000000
2020-03-06,0.08200000,0.08500000,0.07950000,0.08460000,953849.42000000
2020-03-07,0.08490000,0.08810000,0.07830000,0.08210000,1188522.64000000
2020-03-08,0.08160000,0.08160000,0.06680000,0.06710000,972274.23000000
2020-03-09,0.06720000,0.06820000,0.06150000,0.06570000,797801.06000000
2020-03-10,0.06600000,0.07280000,0.06490000,0.06870000,732397.27000000
2020-03-11,0.06840000,0.07010000,0.06300000,0.06800000,812999.94000000
2020-03-12,0.06870000,0.06870000,0.03790000,0.04160000,1876129.26000000
2020-03-13,0.04210000,0.04860000,0.02510000,0.04330000,1167293.73000000
2020-03-14,0.04230000,0.04400000,0.03870000,0.03920000,548368.07000000
2020-03-15,0.03970000,0.04860000,0.03970000,0.04300000,707486.34000000
2020-03-16,0.04220000,0.04840000,0.03250000,0.03750000,975458.34000000
2020-03-17,0.03740000,0.04110000,0.03700000,0.04040000,646903.25000000
2020-03-18,0.04040000,0.04070000,0.03660000,0.04030000,390330.41000000
2020-03-19,0.04060000,0.04890000,0.04010000,0.04750000,875460.41000000
2020-03-20,0.04750000,0.05990000,0.04020000,0.04530000,4430843.82000000
2020-03-21,0.04530000,0.05430000,0.04470000,0.05150000,1443544.31000000
2020-03-22,0.05150000,0.05790000,0.04390000,0.04440000,891579.09000000
2020-03-23,0.04440000,0.05340000,0.04370000,0.05200000,1981959.03000000
2020-03-24,0.05210000,0.06500000,0.05010000,0.05480000,2488270.36000000
2020-03-25,0.05390000,0.05500000,0.05080000,0.05260000,886301.23000000
2020-03-26,0.05290000,0.05300000,0.04850000,0.05300000,1680885.48000000
2020-03-27,0.05350000,0.11890000,0.05280000,0.08690000,39390561.40000000
2020-03-28,0.08730000,0.09290000,0.07870000,0.08260000,9380138.50000000
2020-03-29,0.08260000,0.08320000,0.07070000,0.07190000,1980635.87000000
2020-03-30,0.07150000,0.08400000,0.07090000,0.07640000,3206417.78000000
2020-03-31,0.07690000,0.09950000,0.07490000,0.07850000,5366089.99000000
2020-04-01,0.07840000,0.07850000,0.07290000,0.07570000,1482047.51000000
2020-04-02,0.07590000,0.07950000,0.07520000,0.07650000,1214574.01000000
2020-04-03,0.07610000,0.10630000,0.07530000,0.09260000,13499442.55000000
2020-04-04,0.09290000,0.09800000,0.08340000,0.08730000,7238706.94000000
2020-04-05,0.08720000,0.09000000,0.08450000,0.08600000,2681184.86000000
2020-04-06,0.08600000,0.08880000,0.08520000,0.08780000,2540908.95000000
2020-04-07,0.08840000,0.08970000,0.08300000,0.08580000,1949826.57000000
2020-04-08,0.08560000,0.09490000,0.08450000,0.09160000,3320098.46000000
2020-04-09,0.09220000,0.09340000,0.08800000,0.08980000,1017137.85000000
2020-04-10,0.09010000,0.09020000,0.08040000,0.08500000,2392067.10000000
2020-04-11,0.08550000,0.09090000,0.08140000,0.08270000,1148730.85000000
2020-04-12,0.08330000,0.08610000,0.08200000,0.08290000,594312.87000000
2020-04-13,0.08290000,0.09750000,0.07870000,0.08500000,5159668.72000000
2020-04-14,0.08510000,0.09510000,0.08270000,0.08790000,4703592.15000000
2020-04-15,0.08780000,0.09210000,0.08430000,0.08660000,3802405.93000000
2020-04-16,0.08620000,0.09070000,0.08460000,0.08870000,1803923.87000000
2020-04-17,0.08870000,0.10380000,0.08820000,0.09690000,7602909.09000000
2020-04-18,0.09650000,0.10010000,0.09490000,0.09590000,3222801.23000000
2020-04-19,0.09540000,0.09540000,0.08860000,0.09220000,2201279.11000000
2020-04-20,0.09180000,0.09230000,0.08110000,0.08310000,2008845.77000000
2020-04-21,0.08310000,0.08850000,0.08280000,0.08580000,899219.08000000
2020-04-22,0.08580000,0.08780000,0.08350000,0.08750000,770342.86000000
2020-04-23,0.08700000,0.09500000,0.08430000,0.08890000,2252603.00000000
2020-04-24,0.08890000,0.09170000,0.08800000,0.08980000,1176603.54000000
2020-04-25,0.08930000,0.09240000,0.08840000,0.08980000,721915.38000000
2020-04-26,0.08980000,0.09220000,0.08850000,0.08980000,748344.89000000
2020-04-27,0.09020000,0.09210000,0.08820000,0.09020000,805249.31000000
2020-04-28,0.09020000,0.09040000,0.08820000,0.08920000,419562.47000000
2020-04-29,0.08920000,0.09320000,0.08810000,0.09130000,1342998.60000000
2020-04-30,0.09140000,0.09500000,0.08680000,0.08940000,1274169.37000000
2020-05-01,0.08950000,0.09300000,0.08920000,0.09110000,1000614.02000000
2020-05-02,0.09110000,0.09330000,0.09040000,0.09300000,666435.46000000
2020-05-03,0.09270000,0.09470000,0.08960000,0.09280000,1280935.60000000
2020-05-04,0.09310000,0.09920000,0.08740000,0.08980000,2664112.81000000
