date,open,high,low,close,volume
2020-08-19,7.36300000,7.41240000,7.25630000,7.27020000,131330.65000000
2020-08-19,7.26760000,7.40730000,7.00080000,7.05610000,383890.44000000
2020-08-19,7.05610000,7.18100000,6.97540000,7.17210000,417573.13000000
2020-08-19,7.17550000,7.18110000,7.02540000,7.10600000,201167.62000000
2020-08-19,7.10810000,7.17270000,6.92300000,6.96660000,274946.33000000
2020-08-20,6.96670000,7.00780000,6.71220000,6.71220000,513082.17000000
2020-08-20,6.71460000,6.85190000,6.60020000,6.79800000,249763.71000000
2020-08-20,6.79770000,6.89300000,6.73880000,6.74730000,214709.62000000
2020-08-20,6.75280000,6.92000000,6.73990000,6.82300000,144093.90000000
2020-08-20,6.82410000,6.94200000,6.81970000,6.94200000,135020.93000000
2020-08-20,6.94210000,7.04240000,6.90330000,7.00740000,166026.43000000
2020-08-21,7.00760000,7.02260000,6.94280000,6.95470000,116022.32000000
2020-08-21,6.95560000,6.97800000,6.91270000,6.96960000,94248.22000000
2020-08-21,6.97020000,7.10000000,6.87410000,7.05650000,224248.01000000
2020-08-21,7.05810000,7.08660000,6.96090000,6.98140000,229857.50000000
2020-08-21,6.98140000,6.99370000,6.83020000,6.85000000,199476.82000000
2020-08-21,6.84920000,6.86340000,6.74180000,6.80790000,261738.16000000
2020-08-22,6.80650000,6.84580000,6.65840000,6.73840000,302067.10000000
2020-08-22,6.73660000,6.79060000,6.57590000,6.63240000,212686.10000000
2020-08-22,6.63380000,6.66150000,6.51710000,6.65650000,217162.00000000
2020-08-22,6.65170000,6.69900000,6.57110000,6.67020000,163616.79000000
2020-08-22,6.67040000,6.69580000,6.59430000,6.60770000,224812.81000000
2020-08-22,6.60760000,6.77040000,6.59500000,6.68850000,239748.44000000
2020-08-23,6.69220000,6.75350000,6.62000000,6.72590000,153258.98000000
2020-08-23,6.72780000,6.79910000,6.70630000,6.77020000,116010.13000000
2020-08-23,6.76470000,6.80330000,6.66450000,6.68970000,148402.01000000
2020-08-23,6.68590000,6.70200000,6.60030000,6.69060000,130629.92000000
2020-08-23,6.68930000,6.71890000,6.63990000,6.64330000,123632.08000000
2020-08-23,6.64620000,6.78250000,6.64620000,6.76310000,183938.90000000
2020-08-24,6.76390000,6.82630000,6.71210000,6.80490000,179261.79000000
2020-08-24,6.80500000,6.81650000,6.74550000,6.75880000,94861.68000000
2020-08-24,6.76180000,6.80140000,6.70470000,6.79730000,113280.61000000
2020-08-24,6.79720000,6.85120000,6.77500000,6.83460000,163258.65000000
2020-08-24,6.83450000,6.89500000,6.82040000,6.86200000,136014.34000000
2020-08-24,6.86560000,6.87530000,6.76070000,6.79510000,157423.54000000
2020-08-25,6.79590000,6.89960000,6.76520000,6.87740000,178031.46000000
2020-08-25,6.87720000,6.90000000,6.83600000,6.85370000,73775.16000000
2020-08-25,6.85430000,6.87060000,6.77000000,6.80280000,148666.56000000
2020-08-25,6.80350000,6.82220000,6.67010000,6.70400000,225473.29000000
2020-08-25,6.70640000,6.75610000,6.65470000,6.71960000,152001.33000000
2020-08-25,6.72050000,6.72560000,6.55090000,6.60610000,378165.88000000
2020-08-26,6.60490000,6.67700000,6.35450000,6.44100000,754073.00000000
2020-08-26,6.43850000,6.51030000,6.37030000,6.46920000,231966.65000000
2020-08-26,6.46900000,6.52490000,6.41640000,6.48410000,213405.00000000
2020-08-26,6.48750000,6.54550000,6.42090000,6.45740000,178185.11000000
2020-08-26,6.46320000,6.52220000,6.41800000,6.47770000,173669.96000000
2020-08-26,6.48020000,6.54160000,6.40450000,6.52820000,281712.05000000
2020-08-27,6.52560000,6.55190000,6.47500000,6.48760000,172505.38000000
2020-08-27,6.48470000,6.49780000,6.42860000,6.46000000,122098.18000000
2020-08-27,6.45960000,6.51680000,6.43370000,6.47400000,199555.38000000
2020-08-27,6.47430000,6.70810000,6.47390000,6.67970000,512304.68000000
2020-08-27,6.67820000,6.71950000,6.56840000,6.57710000,241835.46000000
2020-08-27,6.57620000,6.75270000,6.43990000,6.46350000,438744.19000000
2020-08-28,6.46220000,6.50100000,6.19440000,6.28470000,632114.15000000
2020-08-28,6.28080000,6.38160000,6.23360000,6.35440000,330945.00000000
2020-08-28,6.35600000,6.44340000,6.26930000,6.43590000,261986.31000000
2020-08-28,6.44110000,6.52030000,6.39370000,6.45040000,248460.77000000
2020-08-28,6.44860000,6.52360000,6.42830000,6.51150000,220503.03000000
2020-08-28,6.51330000,6.61130000,6.47840000,6.60440000,275115.10000000
2020-08-29,6.61000000,6.62250000,6.50160000,6.58760000,187224.56000000
2020-08-29,6.58450000,6.59360000,6.47650000,6.52780000,191123.50000000
2020-08-29,6.52740000,6.54550000,6.47590000,6.54210000,177996.76000000
2020-08-29,6.54090000,6.60730000,6.52610000,6.58420000,110146.97000000
2020-08-29,6.58450000,6.64860000,6.53540000,6.54440000,191508.99000000
2020-08-29,6.54050000,6.59830000,6.52500000,6.57290000,123182.59000000
2020-08-30,6.57190000,6.61350000,6.54930000,6.56780000,130774.40000000
2020-08-30,6.56710000,6.64680000,6.48970000,6.49260000,246358.60000000
2020-08-30,6.49540000,6.57650000,6.49000000,6.51930000,244512.65000000
2020-08-30,6.52090000,6.52280000,6.45160000,6.48790000,203345.41000000
2020-08-30,6.48930000,6.50890000,6.43950000,6.48580000,184408.29000000
2020-08-30,6.48460000,6.57000000,6.46460000,6.53070000,349103.01000000
2020-08-31,6.52940000,6.63000000,6.51510000,6.59960000,372976.95000000
2020-08-31,6.60000000,6.70780000,6.53120000,6.69070000,276101.97000000
2020-08-31,6.68960000,6.76610000,6.67780000,6.68550000,272998.48000000
2020-08-31,6.68440000,6.69690000,6.60970000,6.61660000,192183.26000000
2020-08-31,6.61600000,6.72700000,6.59540000,6.72160000,218949.99000000
2020-08-31,6.72240000,6.73760000,6.61870000,6.64940000,221571.85000000
2020-09-01,6.64750000,6.68690000,6.58730000,6.60280000,148030.93000000
2020-09-01,6.60230000,6.62370000,6.54760000,6.58580000,101018.82000000
2020-09-01,6.58480000,6.67320000,6.50000000,6.66030000,244471.16000000
2020-09-01,6.66040000,6.78880000,6.62680000,6.72420000,764998.17000000
2020-09-01,6.72410000,6.73910000,6.62460000,6.65180000,447785.43000000
2020-09-01,6.64900000,6.74330000,6.58690000,6.72140000,346952.43000000
2020-09-02,6.72140000,6.78760000,6.67710000,6.69540000,370884.04000000
2020-09-02,6.69790000,6.80720000,6.68520000,6.73590000,264324.14000000
2020-09-02,6.73650000,6.80790000,6.66830000,6.70130000,265717.78000000
2020-09-02,6.70010000,6.74380000,6.60500000,6.60500000,527572.33000000
2020-09-02,6.60510000,6.64930000,6.04560000,6.30140000,730460.77000000
2020-09-02,6.30010000,6.36250000,6.20220000,6.25060000,420166.08000000
2020-09-03,6.25140000,6.29190000,6.15160000,6.28750000,206253.67000000
2020-09-03,6.28720000,6.35600000,6.25010000,6.29460000,200187.18000000
2020-09-03,6.29510000,6.34980000,6.20490000,6.22070000,146057.98000000
2020-09-03,6.22300000,6.23250000,6.00690000,6.17080000,296840.28000000
2020-09-03,6.17070000,6.19380000,6.02750000,6.06970000,299233.99000000
2020-09-03,6.05890000,6.08070000,5.65770000,5.73790000,746629.39000000
2020-09-04,5.74020000,5.82090000,5.66300000,5.78190000,282706.30000000
2020-09-04,5.78350000,6.35710000,4.50310000,5.48490000,1430699.57000000
2020-09-04,5.48490000,5.58160000,4.84990000,5.14750000,2490870.89000000
2020-09-04,5.14810000,5.18410000,5.01950000,5.14070000,497194.63000000
2020-09-04,5.14060000,5.47620000,5.13050000,5.35650000,580022.10000000
2020-09-04,5.35650000,5.42640000,4.92180000,5.18380000,675406.53000000
2020-09-05,5.18470000,5.25780000,5.12630000,5.22380000,264197.27000000
2020-09-05,5.22410000,5.36980000,5.18840000,5.30180000,219120.16000000
2020-09-05,5.30770000,5.41020000,5.29540000,5.33820000,208754.56000000
2020-09-05,5.33700000,5.35660000,5.21320000,5.26380000,151244.10000000
2020-09-05,5.26040000,5.26420000,5.10220000,5.15940000,247493.49000000
2020-09-05,5.15450000,5.26670000,4.96400000,5.24620000,704365.16000000
2020-09-06,5.23720000,5.28430000,4.82700000,4.90860000,699471.59000000
2020-09-06,4.90880000,5.05690000,4.86510000,5.02300000,482338.17000000
2020-09-06,5.02140000,5.08820000,4.94790000,4.99950000,233096.81000000
2020-09-06,5.00170000,5.11430000,4.88180000,5.09480000,491372.69000000
2020-09-06,5.09390000,5.23040000,5.06840000,5.19850000,461667.37000000
2020-09-06,5.19790000,5.23710000,5.06030000,5.14540000,248716.81000000
