date,open,high,low,close,volume
2020-08-19,5.87400000,6.14900000,5.86000000,6.14500000,127375.65400000
2020-08-19,6.14600000,6.37900000,5.65600000,5.91100000,394895.24500000
2020-08-19,5.91200000,5.96200000,5.40000000,5.86000000,442011.90000000
2020-08-19,5.87600000,6.24000000,5.80200000,6.09100000,190988.77100000
2020-08-19,6.09100000,6.30000000,5.92700000,6.00600000,313313.28200000
2020-08-20,6.00700000,6.10500000,5.64400000,5.65400000,172725.71800000
2020-08-20,5.66500000,6.40900000,5.50000000,6.09100000,366737.88500000
2020-08-20,6.09200000,6.77000000,6.09200000,6.31600000,591310.14400000
2020-08-20,6.31600000,6.46000000,6.06100000,6.15400000,263974.98100000
2020-08-20,6.17300000,6.57000000,6.15200000,6.53900000,213759.90600000
2020-08-20,6.51900000,6.54000000,6.32500000,6.43200000,221637.19800000
2020-08-21,6.43200000,6.48900000,6.20700000,6.23000000,162170.92800000
2020-08-21,6.23000000,6.28000000,6.12600000,6.17500000,143126.73600000
2020-08-21,6.17600000,6.27000000,5.70000000,6.04000000,352981.76900000
2020-08-21,6.06000000,6.11500000,5.91500000,6.05900000,130112.79100000
2020-08-21,6.06100000,6.10700000,5.70000000,5.77400000,201487.55000000
2020-08-21,5.77200000,5.96300000,5.65000000,5.76300000,219195.73900000
2020-08-22,5.76200000,5.81500000,5.44500000,5.54300000,226903.29900000
2020-08-22,5.54000000,5.68900000,5.21000000,5.31500000,176776.02700000
2020-08-22,5.32400000,5.41000000,5.10600000,5.32500000,187512.86800000
2020-08-22,5.32400000,5.60100000,5.23100000,5.48800000,104224.66900000
2020-08-22,5.48900000,5.63900000,5.27200000,5.51500000,161171.44700000
2020-08-22,5.51500000,5.76000000,5.38300000,5.73400000,202788.26500000
2020-08-23,5.73300000,6.04800000,5.63500000,5.97200000,195207.51500000
2020-08-23,5.97200000,5.99100000,5.56200000,5.83100000,178103.25700000
2020-08-23,5.82900000,5.89100000,5.67200000,5.70000000,132198.99100000
2020-08-23,5.69900000,5.74800000,5.50200000,5.66000000,144777.30700000
2020-08-23,5.67000000,5.68500000,5.34400000,5.41500000,183225.75400000
2020-08-23,5.41000000,5.67000000,5.40000000,5.65100000,141661.22400000
2020-08-24,5.64200000,5.65400000,5.42700000,5.52000000,117945.43100000
2020-08-24,5.52400000,5.69100000,5.52100000,5.67800000,74828.96500000
2020-08-24,5.68800000,5.85000000,5.53500000,5.85000000,95902.71900000
2020-08-24,5.85000000,5.86600000,5.73800000,5.86400000,110415.15900000
2020-08-24,5.86400000,5.95000000,5.80500000,5.85900000,155666.61100000
2020-08-24,5.86400000,6.18100000,5.85900000,6.06300000,238923.97800000
2020-08-25,6.06200000,6.30000000,6.03400000,6.12900000,216131.06400000
2020-08-25,6.13000000,6.28800000,6.13000000,6.23100000,120788.56900000
2020-08-25,6.23900000,6.26200000,5.88100000,5.96700000,172195.68000000
2020-08-25,5.97200000,6.38900000,5.94900000,6.25800000,236228.48100000
2020-08-25,6.25800000,6.57000000,6.11100000,6.45000000,257679.51900000
2020-08-25,6.44700000,6.45000000,5.69800000,5.92000000,399904.83000000
2020-08-26,5.91000000,5.95300000,5.50000000,5.70000000,206542.49600000
2020-08-26,5.70000000,5.91900000,5.60900000,5.86700000,107213.43500000
2020-08-26,5.85900000,6.09900000,5.82300000,6.09800000,142353.38700000
2020-08-26,6.09800000,6.45000000,6.03500000,6.17400000,387570.06100000
2020-08-26,6.20300000,6.30000000,6.09100000,6.17800000,157647.87600000
2020-08-26,6.17800000,6.28400000,5.85100000,6.26800000,226913.44900000
2020-08-27,6.26700000,6.32300000,6.14700000,6.18400000,194499.27800000
2020-08-27,6.18400000,6.29300000,6.11000000,6.12100000,110610.43400000
2020-08-27,6.12100000,6.23800000,5.97500000,6.01500000,172433.26200000
2020-08-27,6.02100000,6.03700000,5.86300000,6.00400000,127849.57200000
2020-08-27,6.00400000,6.25000000,5.95000000,6.00800000,261287.60400000
2020-08-27,6.01000000,6.43000000,5.93300000,6.19100000,350656.83700000
2020-08-28,6.20000000,6.29500000,5.86000000,5.94200000,231485.27500000
2020-08-28,5.93000000,6.15900000,5.90000000,6.09300000,150391.11600000
2020-08-28,6.09200000,6.83000000,6.00400000,6.79800000,620282.10200000
2020-08-28,6.80400000,6.80700000,6.56300000,6.60900000,336946.47400000
2020-08-28,6.60900000,6.87700000,6.53100000,6.77300000,407821.02000000
2020-08-28,6.77300000,7.05100000,6.62900000,6.79800000,498020.39900000
2020-08-29,6.80000000,7.11200000,6.74700000,6.79600000,272903.42300000
2020-08-29,6.79400000,6.88200000,6.67500000,6.86600000,182816.55300000
2020-08-29,6.86600000,6.86700000,6.55000000,6.65700000,219517.06000000
2020-08-29,6.65300000,7.00000000,6.64100000,6.73400000,195689.37300000
2020-08-29,6.73300000,6.88700000,6.62300000,6.63200000,169835.86500000
2020-08-29,6.63100000,6.67600000,6.57000000,6.62300000,116865.79300000
2020-08-30,6.62600000,6.71400000,6.56100000,6.56900000,134393.93900000
2020-08-30,6.57600000,6.67100000,6.46600000,6.52900000,134614.57300000
2020-08-30,6.52000000,7.04100000,6.50000000,6.88100000,397000.06700000
2020-08-30,6.88100000,7.19500000,6.83500000,6.98700000,244236.95400000
2020-08-30,6.99300000,7.04500000,6.80200000,6.92600000,167742.97300000
2020-08-30,6.93100000,6.95000000,6.77900000,6.84800000,156945.01300000
2020-08-31,6.84900000,7.05000000,6.82700000,6.92800000,159083.88100000
2020-08-31,6.93400000,7.41500000,6.93000000,7.30100000,624183.44500000
2020-08-31,7.30000000,7.55000000,7.08600000,7.22700000,369330.46000000
2020-08-31,7.22300000,7.26100000,6.95500000,7.02100000,193931.18100000
2020-08-31,7.01700000,7.43200000,6.90700000,7.37000000,399156.31600000
2020-08-31,7.37000000,7.46300000,7.13200000,7.21800000,323042.65700000
2020-09-01,7.22600000,7.29900000,6.93400000,7.23900000,250656.59100000
2020-09-01,7.23100000,7.56800000,7.07300000,7.33600000,306950.83700000
2020-09-01,7.33600000,7.82600000,7.22000000,7.66800000,406495.94400000
2020-09-01,7.66800000,7.71200000,7.41000000,7.46900000,252547.21500000
2020-09-01,7.48000000,7.88000000,7.45000000,7.50800000,443617.97800000
2020-09-01,7.51500000,7.66800000,7.30800000,7.64100000,251439.33400000
2020-09-02,7.64400000,7.68900000,7.18000000,7.22200000,375986.99500000
2020-09-02,7.21600000,7.34500000,7.08400000,7.10400000,333395.10600000
2020-09-02,7.10300000,7.20000000,6.80000000,6.85000000,244052.40800000
2020-09-02,6.83900000,6.99100000,6.69300000,6.70000000,182339.91300000
2020-09-02,6.70000000,6.86900000,5.90000000,6.34100000,498504.56100000
